net,length_um
clknet_0_clk,1176.6
_01972_,757.51
_03178_,656.76
net94,620.61
net120,620.26
net174,619.54
net199,603.52
net113,601.03
_04043_,594.94
net131,590.59
_01566_,584.96
net38,584.14
net232,578.06
_03179_,571.27
net245,549.94
net219,544.4
_01913_,542.98
_02068_,541.99
net70,541.15
net206,528.95
_04171_,523.95
_02000_,520.56
_03189_,512.49
net119,502.24
_03188_,500.74
_03288_,499.04
net140,494.01
_01994_,484.96
_01974_,477.04
_03184_,474.5
_03031_,474.25
_03366_,473.31
net229,465.47
_02069_,464.08
_02220_,462.115
net124,459.15
_03191_,456.93
net55,454.96
_02070_,454.35
net210,454.32
_03182_,454.1
net197,453.53
net250,452.09
net59,447.9
net46,447.28
_01984_,446.445
net150,442.84
net190,441.98
net132,441.16
net118,439.34
net173,438.31
_01973_,437.91
net136,429.97
net81,427.39
_02111_,427.35
_02258_,426.11
net41,423.94
net93,423.12
_04133_,422.6
net103,418.98
net7,417.18
net251,416.28
_01986_,414.42
_04031_,412.63
_03180_,412.38
net239,411.46
net194,408.22
net227,406.98
net201,405.28
net105,400
net155,399.69
_02478_,399.32
net69,398.66
net54,398.175
_02370_,395.73
_02110_,392.05
_04033_,390.91
_03181_,390.48
_02065_,390.32
_02002_,389.18
_02113_,388.45
_05432_,388.32
_03190_,387.785
net21,387.49
net79,386.77
_02629_,386.05
net165,386.04
net161,381.36
net17,376.91
_02040_,376.63
net237,375.035
sha256cu.iter_processing.w\[11\],370.18
_01966_,370
net18,368.38
_01970_,366.88
net8,363.02
_03186_,362.58
_04037_,360.71
net34,359.84
_04038_,358.99
net168,354.74
_06270_,352.36
net200,352.15
net83,350.88
_04913_,348.975
net85,348.34
sha256cu.K\[6\],347.56
_02732_,346.39
sha256cu.iter_processing.w\[9\],345.86
_02017_,345.51
_04917_,344.39
sha256cu.iter_processing.w\[13\],343.9
net63,343.66
net149,343.2
_04039_,341.94
_02440_,341.68
sha256cu.iter_processing.w\[12\],341.68
net255,341.23
_01965_,340.58
net91,340.48
_02439_,337.92
_01912_,337.17
_04116_,336.76
sha256cu.iter_processing.w\[10\],336.57
net110,336.09
net14,336.06
_05081_,334.13
_04026_,333.775
_01528_,333.25
net142,332.62
_06251_,331.27
net104,331.08
_02037_,330.71
net27,329.94
net50,328.32
sha256cu.K\[9\],328.12
sha256cu.K\[7\],327.26
net198,326.54
_03176_,324.82
net77,324.1
net67,322.82
_04769_,321.38
_03183_,320.325
net189,319.14
net244,317.72
sha256cu.K\[12\],316.02
net107,315.16
net24,315
sha256cu.K\[14\],314.49
net235,314.44
_04692_,314.25
_03177_,313.26
net47,311.16
sha256cu.K\[10\],310.95
net89,310.65
net252,310.6
_02332_,309.96
net88,309.9
net106,309.06
_03185_,308.67
_04036_,308.51
sha256cu.K\[11\],308.5
_02112_,308.23
clknet_4_7_0_clk,306.67
net31,304.74
net171,304.58
_05040_,304.4
net184,302.66
_01552_,301.44
sha256cu.K\[5\],301.44
net4,301.32
sha256cu.K\[13\],299.72
_01920_,299.14
sha256cu.iter_processing.w\[8\],298.76
sha256cu.iter_processing.w\[7\],298.52
_05024_,296.94
net40,296.76
net33,296.52
_05442_,296.17
_02161_,295.95
sha256cu.K\[8\],295.4
_04933_,294.93
net181,294.78
_03187_,294.68
net114,293.86
net241,292.53
net254,292.3
sha256cu.iter_processing.w\[14\],291.55
clknet_4_8_0_clk,291.2
net133,290.96
_03192_,289.93
clknet_4_9_0_clk,289.87
_02114_,289.46
_04032_,289.13
_04044_,287.6
sha256cu.m_out_digest.a_in\[25\],286.065
_06542_,285.28
_04027_,285.19
clknet_4_1_0_clk,284.6
_02515_,283.07
clknet_4_5_0_clk,281.41
_01550_,281.14
sha256cu.m_out_digest.a_in\[27\],278.74
_01975_,277.79
_04030_,277.66
_06249_,277.54
net60,275.66
net16,275.48
sha256cu.iter_processing.w\[6\],274.94
clknet_4_4_0_clk,273.82
net87,273.66
net80,272.26
net247,270.84
_01512_,270.64
net30,270.23
net10,270.18
net64,268.7
_04768_,268.665
net100,268.41
net258,268.4
sha256cu.m_out_digest.a_in\[8\],268.27
sha256cu.iter_processing.w\[15\],268.08
sha256cu.K\[4\],267.62
net224,265.16
_01523_,264.34
_01971_,264.27
sha256cu.m_out_digest.e_in\[22\],263.96
sha256cu.iter_processing.w\[22\],263.66
net147,263.45
_02083_,263.24
net257,262.44
net238,261.72
clk,261.15
_01554_,260.72
